,city_ascii,state_id,state_name,lat,lng,id,url
631,Missouri City,TX,Texas,29.563000000000002,-95.5365,1840020950,https://lh5.googleusercontent.com/p/AF1QipNRnFDmnF2icKyUSI5ajoqQk5fVcjV61zcrtse1=w408-h272-k-no
632,Pasco,WA,Washington,46.2506,-119.1304,1840019888,https://lh5.googleusercontent.com/p/AF1QipPV6BzqETVZgSEHU1ymPi0-YNE87PklOXmqq3C7=w408-h306-k-no
633,Wheeling,WV,West Virginia,40.0752,-80.6951,1840005510,https://lh5.googleusercontent.com/p/AF1QipMdjVDtuF-3wLnDPBwjpYqYnQdCAVINxr-nSPd-=w408-h725-k-no
634,Kendall,FL,Florida,25.6697,-80.3556,1840014244,https://lh5.googleusercontent.com/p/AF1QipM1D2SNbJWyathV6CtgFePf2G63EgnadAHaXDg=w408-h544-k-no
635,Baldwin Park,CA,California,34.0829,-117.9721,1840019227,https://lh5.googleusercontent.com/p/AF1QipONy0sSrlBGYccBuWTalaDHR-BMTdaKdH0JaHgC=w480-h240-k-no
636,Rancho Cordova,CA,California,38.574,-121.2523,1840020248,https://lh5.googleusercontent.com/p/AF1QipOk4k-ylAYFXmW1A6Z6Vt5WdDM-xoOlZk3_2aXg=w533-h240-k-no
637,Conway,AR,Arkansas,35.0754,-92.4694,1840014598,https://lh5.googleusercontent.com/p/AF1QipNVJPQnVXMCfzqc5gnwbUXvycUlq6wBslJzjXLo=w426-h240-k-no
638,Gary,IN,Indiana,41.5906,-87.3472,1840008194,https://lh5.googleusercontent.com/p/AF1QipNlZ7Mv2zWkVUGGGSUzX4MOTCFJ4uJ764kYpKLQ=w426-h240-k-no
639,Altoona,PA,Pennsylvania,40.5082,-78.4007,1840001080,https://lh5.googleusercontent.com/p/AF1QipP8JjSN6jHct6rscRVbxhYopVJV231NCOSEhrLN=w408-h306-k-no
640,Lodi,CA,California,38.1218,-121.2932,1840020263,https://lh5.googleusercontent.com/p/AF1QipN3OA9ltVzVhV-RmO8n8w_zU1ZEG9P-eyb1EX9U=w426-h240-k-no
641,Arlington Heights,IL,Illinois,42.0955,-87.9825,1840011243,https://lh5.googleusercontent.com/p/AF1QipOelWsPbr0z6k7ziDt9aTKSJzPZn7oTw128P8kY=w426-h240-k-no
642,Bolingbrook,IL,Illinois,41.6903,-88.1019,1840011482,https://lh5.googleusercontent.com/p/AF1QipPyg0VuLcE9IdLDeMOnWC15-BaJEDO9qsL_26RZ=w408-h306-k-no
643,Rochester Hills,MI,Michigan,42.6645,-83.1563,1840002429,https://lh5.googleusercontent.com/p/AF1QipMxgsS6O_yvoKLytwgQsQs0f525FTZAT7uxYfpC=w426-h240-k-no
644,Winchester,VA,Virginia,39.1735,-78.1746,1840001623,https://lh5.googleusercontent.com/p/AF1QipN-0P8G3jkW-Nvm0sqGenmv8377d5UXJAtRxMNw=w408-h544-k-no
645,Framingham,MA,Massachusetts,42.3085,-71.4368,1840003131,https://lh5.googleusercontent.com/p/AF1QipNIp0HCLZemeeCQ3IdfKMbt2xJdO28l6LH4HC4=w408-h725-k-no
